question,level,type,avg_rating,generated
What ideas have you got on how to improve your wellbeing in hopeful?,low,Hopeful,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Hopeful,0,1
Is there anyone else we need to talk to about this problem?,low,Hopeful,0,1
What is the main threat to your wellbeing in hopeful?,low,Hopeful,0,1
Why have you scored yourself so low in this hopeful?,low,Hopeful,0,1
If you had a friend that rated them similar in hopeful what strategies would you recommend?,low,Hopeful,0,1
What can you do to improve your score in this hopeful?,medium,Hopeful,0,1
Wha best could help you to improve in hopeful?,medium,Hopeful,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Hopeful,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Hopeful,0,1
How would you like me to help you maintain in hopeful?,high,Hopeful,0,1
How can you maintain a high wellbeing score in hopeful?,high,Hopeful,0,1
Who could best help you to maintain a high wellbeing score?,high,Hopeful,0,1
What ideas have you got on how to improve your wellbeing in happy?,low,Happy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Happy,0,1
Is there anyone else we need to talk to about this problem?,low,Happy,0,1
What is the main threat to your wellbeing in happy?,low,Happy,0,1
Why have you scored yourself so low in this happy?,low,Happy,0,1
If you had a friend that rated them similar in happy what strategies would you recommend?,low,Happy,0,1
What can you do to improve your score in this happy?,medium,Happy,0,1
Wha best could help you to improve in happy?,medium,Happy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Happy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Happy,0,1
How would you like me to help you maintain in happy?,high,Happy,0,1
How can you maintain a high wellbeing score in happy?,high,Happy,0,1
Who could best help you to maintain a high wellbeing score?,high,Happy,0,1
What ideas have you got on how to improve your wellbeing in coping?,low,Coping,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Coping,0,1
Is there anyone else we need to talk to about this problem?,low,Coping,0,1
What is the main threat to your wellbeing in coping?,low,Coping,0,1
Why have you scored yourself so low in this coping?,low,Coping,0,1
If you had a friend that rated them similar in coping what strategies would you recommend?,low,Coping,0,1
What can you do to improve your score in this coping?,medium,Coping,0,1
Wha best could help you to improve in coping?,medium,Coping,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Coping,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Coping,0,1
How would you like me to help you maintain in coping?,high,Coping,0,1
How can you maintain a high wellbeing score in coping?,high,Coping,0,1
Who could best help you to maintain a high wellbeing score?,high,Coping,0,1
What ideas have you got on how to improve your wellbeing in accepted?,low,Accepted,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Accepted,0,1
Is there anyone else we need to talk to about this problem?,low,Accepted,0,1
What is the main threat to your wellbeing in accepted?,low,Accepted,0,1
Why have you scored yourself so low in this accepted?,low,Accepted,0,1
If you had a friend that rated them similar in accepted what strategies would you recommend?,low,Accepted,0,1
What can you do to improve your score in this accepted?,medium,Accepted,0,1
Wha best could help you to improve in accepted?,medium,Accepted,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Accepted,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Accepted,0,1
How would you like me to help you maintain in accepted?,high,Accepted,0,1
How can you maintain a high wellbeing score in accepted?,high,Accepted,0,1
Who could best help you to maintain a high wellbeing score?,high,Accepted,0,1
What ideas have you got on how to improve your wellbeing in safe?,low,Safe,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Safe,0,1
Is there anyone else we need to talk to about this problem?,low,Safe,0,1
What is the main threat to your wellbeing in safe?,low,Safe,0,1
Why have you scored yourself so low in this safe?,low,Safe,0,1
If you had a friend that rated them similar in safe what strategies would you recommend?,low,Safe,0,1
What can you do to improve your score in this safe?,medium,Safe,0,1
Wha best could help you to improve in safe?,medium,Safe,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Safe,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Safe,0,1
How would you like me to help you maintain in safe?,high,Safe,0,1
How can you maintain a high wellbeing score in safe?,high,Safe,0,1
Who could best help you to maintain a high wellbeing score?,high,Safe,0,1
What ideas have you got on how to improve your wellbeing in healthy?,low,Healthy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,low,Healthy,0,1
Is there anyone else we need to talk to about this problem?,low,Healthy,0,1
What is the main threat to your wellbeing in healthy?,low,Healthy,0,1
Why have you scored yourself so low in this healthy?,low,Healthy,0,1
If you had a friend that rated them similar in healthy what strategies would you recommend?,low,Healthy,0,1
What can you do to improve your score in this healthy?,medium,Healthy,0,1
Wha best could help you to improve in healthy?,medium,Healthy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,medium,Healthy,0,1
What wellbeing goal can we set for you this week/month? How are you going to get there? How will you know you are on track to reach this goal?,high,Healthy,0,1
How would you like me to help you maintain in healthy?,high,Healthy,0,1
How can you maintain a high wellbeing score in healthy?,high,Healthy,0,1
Who could best help you to maintain a high wellbeing score?,high,Healthy,0,1
